source_type,source_link,code,name
newspapers,https://en.wikipedia.org/wiki/List_of_newspapers_in_the_United_Kingdom#Non-English-language_newspapers,it,Italian
newspapers,https://en.wikipedia.org/wiki/List_of_newspapers_in_the_United_Kingdom#Non-English-language_newspapers,ko,Korean
newspapers,https://en.wikipedia.org/wiki/List_of_newspapers_in_the_United_Kingdom#Non-English-language_newspapers,pl,Polish
newspapers,https://en.wikipedia.org/wiki/List_of_newspapers_in_the_United_Kingdom#Non-English-language_newspapers,pt,Portugese
newspapers,https://en.wikipedia.org/wiki/List_of_newspapers_in_the_United_Kingdom#Non-English-language_newspapers,ru,Russian
newspapers,https://en.wikipedia.org/wiki/List_of_newspapers_in_the_United_Kingdom#Non-English-language_newspapers,ur,Urdu
newspapers,https://en.wikipedia.org/wiki/List_of_newspapers_in_the_United_Kingdom#Non-English-language_newspapers,zh,Chinese
newspapers,https://en.wikipedia.org/wiki/List_of_newspapers_in_the_United_Kingdom#Non-English-language_newspapers,zh-cn,Chinese
newspapers,https://en.wikipedia.org/wiki/List_of_newspapers_in_the_United_Kingdom#Non-English-language_newspapers,zh-tw,Chinese
public library catalog,http://www.londonpubliclibrary.ca/world-languages,am,Amharic
public library catalog,http://www.londonpubliclibrary.ca/world-languages,ar,Arabic
public library catalog,http://www.londonpubliclibrary.ca/world-languages,bn,Bangla
public library catalog,http://www.londonpubliclibrary.ca/world-languages,cs,Czech
public library catalog,http://www.londonpubliclibrary.ca/world-languages,de,German
public library catalog,http://www.londonpubliclibrary.ca/world-languages,el,Greek
public library catalog,http://www.londonpubliclibrary.ca/world-languages,es,Spanish
public library catalog,http://www.londonpubliclibrary.ca/world-languages,fa,Farsi
public library catalog,http://www.londonpubliclibrary.ca/world-languages,fa,Persian
public library catalog,http://www.londonpubliclibrary.ca/world-languages,hi,Hindi
public library catalog,http://www.londonpubliclibrary.ca/world-languages,hn,Hungarian
public library catalog,http://www.londonpubliclibrary.ca/world-languages,hr,Croatian
public library catalog,http://www.londonpubliclibrary.ca/world-languages,hu,Hungarian
public library catalog,http://www.londonpubliclibrary.ca/world-languages,it,Italian
public library catalog,http://www.londonpubliclibrary.ca/world-languages,ja,Japanese
public library catalog,http://www.londonpubliclibrary.ca/world-languages,ko,Korean
public library catalog,http://www.londonpubliclibrary.ca/world-languages,nl,Dutch
public library catalog,http://www.londonpubliclibrary.ca/world-languages,pa,Panjabi
public library catalog,http://www.londonpubliclibrary.ca/world-languages,pl,Polish
public library catalog,http://www.londonpubliclibrary.ca/world-languages,pt,Portuguese
public library catalog,http://www.londonpubliclibrary.ca/world-languages,ro,Romanian
public library catalog,http://www.londonpubliclibrary.ca/world-languages,ru,Russian
public library catalog,http://www.londonpubliclibrary.ca/world-languages,sr,Serbian
public library catalog,http://www.londonpubliclibrary.ca/world-languages,tr,Turkish
public library catalog,http://www.londonpubliclibrary.ca/world-languages,uk,Ukrainian
public library catalog,http://www.londonpubliclibrary.ca/world-languages,ur,Urdu
public library catalog,http://www.londonpubliclibrary.ca/world-languages,vi,Vietnamese
public library catalog,http://www.londonpubliclibrary.ca/world-languages,zh,Chinese
public library catalog,http://www.londonpubliclibrary.ca/world-languages,zh-cn,Chinese
public library catalog,http://www.londonpubliclibrary.ca/world-languages,zh-tw,Chinese
public library catalog,http://www.londonpubliclibrary.ca/world-languages,,Albanian
public library catalog,http://www.londonpubliclibrary.ca/world-languages,,Bosnian
public library catalog,http://www.londonpubliclibrary.ca/world-languages,,Somali
radio stations,https://en.wikipedia.org/wiki/List_of_radio_stations_in_the_United_Kingdom,bn,Bangla
radio stations,https://en.wikipedia.org/wiki/List_of_radio_stations_in_the_United_Kingdom,cy,Welsh
radio stations,https://en.wikipedia.org/wiki/List_of_radio_stations_in_the_United_Kingdom,en,English
radio stations,https://en.wikipedia.org/wiki/List_of_radio_stations_in_the_United_Kingdom,en-gb,English
radio stations,https://en.wikipedia.org/wiki/List_of_radio_stations_in_the_United_Kingdom,ga,Irish
radio stations,https://en.wikipedia.org/wiki/List_of_radio_stations_in_the_United_Kingdom,gu,Gurbani
radio stations,https://en.wikipedia.org/wiki/List_of_radio_stations_in_the_United_Kingdom,hi,Hindi
radio stations,https://en.wikipedia.org/wiki/List_of_radio_stations_in_the_United_Kingdom,pa,Panjabi
radio stations,https://en.wikipedia.org/wiki/List_of_radio_stations_in_the_United_Kingdom,pl,Polish
radio stations,https://en.wikipedia.org/wiki/List_of_radio_stations_in_the_United_Kingdom,ru,Russian
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
